doc_id,chars,sp_tokens,custom_tokens,delta_sp_minus_custom
10445,9834,3882,3983,-101
10446,1527,620,629,-9
10447,631,300,308,-8
10448,4487,2097,2173,-76
10449,1743,677,688,-11
10450,3153,1177,1249,-72
10451,609,213,226,-13
10452,1568,657,676,-19
10453,1507,627,658,-31
10454,4284,1724,1793,-69
10455,854,314,324,-10
10456,1403,616,624,-8
10457,1975,767,784,-17
10458,794,324,331,-7
10459,3880,1552,1581,-29
10460,1734,659,672,-13
10461,692,287,286,1
10462,870,386,397,-11
10463,2631,1234,1247,-13
10464,625,244,254,-10
10465,2076,971,982,-11
10466,1897,796,806,-10
10467,635,261,263,-2
10468,932,451,462,-11
10469,12509,5767,5896,-129
10470,1147,446,449,-3
10471,1821,793,842,-49
10472,987,362,373,-11
10473,3794,1492,1539,-47
10474,1414,564,593,-29
10475,3159,1303,1335,-32
10476,527,218,223,-5
10477,3395,1483,1522,-39
10478,3148,1202,1232,-30
10479,5321,2187,2238,-51
10480,1845,667,694,-27
10481,2633,1193,1224,-31
10482,3127,1319,1384,-65
10483,1930,764,790,-26
10484,1788,691,710,-19
10485,318,145,151,-6
10486,3858,1529,1583,-54
10487,5383,1934,1987,-53
10488,1668,704,719,-15
10489,526,254,278,-24
10490,1169,437,459,-22
10491,3661,1576,1607,-31
10492,4606,1846,1894,-48
10493,1092,415,438,-23
10494,772,352,359,-7
10495,1526,576,605,-29
10496,6086,2749,2808,-59
10497,5575,2244,2317,-73
10498,677,265,272,-7
10499,3526,1421,1459,-38
10500,1643,661,678,-17
10501,1897,792,826,-34
10502,710,266,271,-5
10503,1534,606,615,-9
10504,1783,733,750,-17
10505,3630,1658,1681,-23
10506,5002,1818,1855,-37
10507,2164,951,981,-30
10508,4946,2060,2107,-47
10509,616,304,312,-8
10510,4326,1783,1830,-47
10511,655,252,256,-4
10512,2037,825,839,-14
10513,2722,1179,1189,-10
10514,919,477,488,-11
10515,1002,451,482,-31
10516,6517,2731,2854,-123
10517,945,391,401,-10
10518,4952,2318,2372,-54
10519,517,245,253,-8
10520,12350,4746,4919,-173
10521,4448,1905,1968,-63
10522,3163,1327,1359,-32
10523,4632,1822,1869,-47
10524,1112,425,433,-8
10525,2473,1040,1053,-13
10526,1816,791,801,-10
10527,1951,936,958,-22
10528,545,207,211,-4
10529,1388,524,546,-22
10530,37682,18003,18232,-229
10531,2801,1068,1099,-31
10532,1912,782,790,-8
10533,425,215,227,-12
10534,1535,725,725,0
10535,1801,744,771,-27
10536,12376,5005,5119,-114
10537,5805,2255,2288,-33
10538,794,304,317,-13
